AllPrograms
Program,Category,University,Grade Range,Co-op Available,Prerequisites
Architectural Studies (regular and co-op)  -  Architecture ,Architecture,Carleton University,75-77% (regular and co-op),Co-op option available with this program,English (ENG4U) Physics (SPH4U) Advanced Functions (MHF4U) 3 best 4U/M courses
Engineering  -  Architectural Conservation and Sustainability Engineering ,Architecture,Carleton University,75 - 85% (regular and co-op),Co-op option available with this program,Advanced Functions (MHF4U) Chemistry (SCH4U) Physics (SPH4U) One credit from Calculus (MCV4U) Biology (SBI4U) or Earth and Space Science (SES4U). Calculus (MCV4U) recommended
Landscape Architecture ,Architecture,University of Guelph,N/A,Practicum or internship option available,ENG4U 5 additional 4U/M courses
Turfgrass Management (Associate Diploma program) ,Architecture,University of Guelph,65 to 70%,Practicum or internship option available,OSSD You are encouraged to complete Grade 11 and 12 Math Biology and Chemistry.
Engineering (Chemical Civil Electrical Mechanical Mechatronics and Software) (co-op available) (6 disciplines at Thunder Bay 1 at Lakehead/Georgian),Architecture,Lakehead University,70%,Co-op or internship option available,All Engineering Disciplines: ENG4U MHF4U with a minimum grade of 60% SCH4U SPH4U MCV4U is strongly recommended An additional Math Science or Technological Education course is also recommended Common Year in Applied Science: Six 4U/M courses ENG3U or ENG4C MCF3M or MCR3U SCH3U or SCH4C SPH3U or SPH4C Students who do not meet all of the above admission requirements will be evaluated on an individual basis
Geography and the Environment (includes Environmental Science and Studies) (Thunder Bay and Orillia) ,Architecture,Lakehead University,70%,Not Available,Geography (Arts): ENG4U Geography (Arts & Sciences): ENG4U Geography (Environmental Science): ENG4U MHF4U Geography (Environmental Studies): ENG4U Geography (Science): ENG4U MHF4U 2 of MCV4U MDM4U SBI4U SCH4U SES4U SPH4U
Architectural Studies ,Architecture,Laurentian University,75%,Co-op program,1 grade 12 English U/M course (ENG 4U) 2 grade 12 4U Math courses 3 other grade 12 U/M courses A minimum overall average of 75% in the 6 best grade 12 U/M courses Examples of eligible math courses include: MHF 4U MCV 4U or MDM 4U.
Environmental Design ,Architecture,OCAD University,N/A,Practicum or internship option available,OSSD with an overall academic average of at least 70% in six 4U/M courses including ENG4U or EAE4U with a minimum final grade of 70%
Industrial Design ,Architecture,OCAD University,N/A,Practicum or internship option available,OSSD with an overall academic average of at least 70% in six 4U/M courses including ENG4U or EAE4U with a minimum final grade of 70%
Architectural Studies ,Architecture,University of Toronto,High 80s and above,Not Available,ENG4U Particular attention is paid to English.
International Foundation Program  -  Architecture Landscape and Design ,Architecture,University of Toronto,Mid- to high 80s,Not Available,This program is open to academically qualified international students whose English proficiency test results do not meet the University of Toronto's English-language requirement.
Architectural Science (Co-op Available) ,Architecture,Toronto Metropolitan University (formerly Ryerson University),Mid 80s,Co-op available by application after first year of studies,English/Anglais (ENG4U/EAE4U preferred) Physics (SPH4U) Mathematics (one of Calculus and Vectors [MCV4U] or Advanced Functions [MHF4U])
Urban and Regional Planning ,Architecture,Toronto Metropolitan University (formerly Ryerson University),Low 80s,Field placement,English (ENG4U/EAE4U preferred)
Architectural Engineering (Co-op only) ,Architecture,University of Waterloo,Mid- to High 80s,Co-op program,A final grade of at least 70% is required for: MHF4U MCV4U SCH4U ENG4U SPH4U Plus: 1 additional 4U/M course
Architecture (Co-op Only) ,Architecture,University of Waterloo,Mid-80s,Co-op program,A final grade of at least 70% is required for: MHF4U MCV4U SPH4U A final grade of at least 75% is normally required for: ENG4U Plus: 2 additional 4U/M courses Recommended: 3M or 4M art courses independent art studies creative and cultural studies such as visual arts and history.
Planning (Co-op Only) ,Architecture,University of Waterloo,Low 80s,Co-op program,Any Grade 12U English (a final grade of at least 75% is required) 5 additional Grade 12U/M courses Recommended: Grade 12U/M courses from Canadian and World Studies Mathematics and/or Science (preferably SBI4U or SES4U)
Social Science ,Architecture,Western University,Low to mid 80s,Co-op or internship application available at the university after registration,English ENG4U Notes: All Honours Specializations and Majors in Psychology require a first-year university Math course; therefore any Grade 12 U-level Math is highly recommended for this program. Math is helpful in preparation for Sociology and Geography programs. MFH4U and MCV4U are required for all Economics modules. SBI4U SCH4U and SPH4U are highly recommended for the BSc in Psychology. Psychology and Geography are offered as both a BA and a BSc. For the BSc option refer to the Academic Calendar for required high school science courses.
Visual Arts ,Architecture,University of Windsor,70 - 87%,Not Available,Visual Arts ENG4U Visual Arts and the Built Environment (VABE) ENG4U SPH4U MHF4U MCV4U is recommended
Cities Regions Planning (BES) ,Architecture,York University,Mid to high 70s,Practicum or internship option available,Ontario Secondary School Diploma (OSSD) ENG4U Five additional 4U or 4M courses
Concurrent Education: Environmental Studies (BEd) ,Architecture,York University,High 70s to mid-80s,Class-based experiential education,Ontario Secondary School Diploma (OSSD) ENG4U (Francophone applicants may present FRA4U FEF4U or FIF4U) 5 additional 4U/M courses In this concurrent program graduates receive a Bachelor of Education as well as a Bachelor's degree in their chosen subject of major interest. Students must apply by selecting both the York Faculty that they are applying to and the BEd program. Full program details and instructions on how to apply are available on the Faculty of Education website. Submit your application for admission to the OUAC by January 12 2023. If you are interested in pursuing a French BEd with Glendon please see OUAC code YGJ. If you are interested in pursing an English BEd with Glendon please see OUAC code YYI.
